datasets/testfiles/small10/rhs_series_1.test

400
[INSTANCE] rhs_s1_i01.mps.gz
[START] 2022-12-14T17:55:49
Number of partial solutions: 0
presolving:
(round 1, fast)       6300 del vars, 631 del conss, 0 add conss, 6300 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 620 clqs
(round 2, fast)       6300 del vars, 631 del conss, 0 add conss, 6550 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 620 clqs
   (0.1s) running MILP presolver
   (0.1s) MILP presolver (2 rounds): 0 aggregations, 11 fixings, 0 bound changes
(round 3, medium)     6311 del vars, 631 del conss, 0 add conss, 6550 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 620 clqs
(round 4, exhaustive) 6311 del vars, 631 del conss, 0 add conss, 6550 chg bounds, 0 chg sides, 0 chg coeffs, 620 upgd conss, 0 impls, 620 clqs
(round 5, medium)     6434 del vars, 631 del conss, 0 add conss, 6550 chg bounds, 123 chg sides, 123 chg coeffs, 620 upgd conss, 0 impls, 620 clqs
   (0.1s) probing: 51/6076 (0.8%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.1s) probing aborted: 50/50 successive totally useless probings
   (0.1s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.1s) no symmetry present
   (0.1s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.1s) no symmetry present
presolving (6 rounds: 6 fast, 4 medium, 2 exhaustive):
 6434 deleted vars, 631 deleted constraints, 0 added constraints, 6550 tightened bounds, 0 added holes, 123 changed sides, 123 changed coefficients
 0 implications, 620 cliques
presolved problem has 6326 variables (6076 bin, 0 int, 250 impl, 0 cont) and 870 constraints
    620 constraints of type <setppc>
    250 constraints of type <linear>
transformed objective value is always integral (scale: 0.04)
Presolving Time: 0.10

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.2s|     1 |     0 |    10 |     - |  clique|   0 |6326 | 870 | 870 |   0 |  0 |   0 |   0 |-3.290320e+03 |-5.320000e+01 |6084.81%| unknown
  0.7s|     1 |     0 | 10441 |     - |    67M |   0 |6326 | 870 | 870 |   0 |  0 | 250 |   0 |-3.918734e+02 |-5.320000e+01 | 636.60%| unknown
r 0.7s|     1 |     0 | 10441 |     - |rounding|   0 |6326 | 870 | 870 |   0 |  0 | 250 |   0 |-3.918734e+02 |-8.024000e+01 | 388.38%| unknown
r 0.7s|     1 |     0 | 10441 |     - |shifting|   0 |6326 | 870 | 870 |   0 |  0 | 250 |   0 |-3.918734e+02 |-8.124000e+01 | 382.37%| unknown
i 0.7s|     1 |     0 | 10604 |     - |  oneopt|   0 |6326 | 870 | 870 |   0 |  0 | 250 |   0 |-3.918734e+02 |-9.400000e+01 | 316.89%| unknown
  0.7s|     1 |     0 | 10604 |     - |    69M |   0 |6326 | 870 | 870 |   0 |  0 | 250 |   0 |-3.918734e+02 |-9.400000e+01 | 316.89%| unknown
  0.7s|     1 |     0 | 10604 |     - |    69M |   0 |6326 | 870 | 870 |   0 |  0 | 250 |   0 |-3.918734e+02 |-9.400000e+01 | 316.89%| unknown
  0.9s|     1 |     0 | 11419 |     - |    73M |   0 |6326 | 870 | 922 |  52 |  1 | 250 |   0 |-3.870778e+02 |-9.400000e+01 | 311.78%| unknown
r 1.0s|     1 |     0 | 11419 |     - |rounding|   0 |6326 | 870 | 922 |  52 |  1 | 250 |   0 |-3.870778e+02 |-1.268000e+02 | 205.27%| unknown
r 1.0s|     1 |     0 | 11419 |     - |shifting|   0 |6326 | 870 | 922 |  52 |  1 | 250 |   0 |-3.870778e+02 |-1.278000e+02 | 202.88%| unknown
  1.1s|     1 |     0 | 12265 |     - |    75M |   0 |6326 | 870 | 934 |  64 |  2 | 250 |   0 |-3.860978e+02 |-1.278000e+02 | 202.11%| unknown
